Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost
1,88.0,6.0,1.0,2024-03-26,194379.148,1075200.0
3,28.0,18.0,6.0,2024-04-13,126095.5478,940800.0
4,85.0,12.0,12.0,2023-09-06,84000.0,1008000.0
5,47.0,3.0,8.0,2021-07-06,99575.60963,705600.0
6,80.0,11.0,4.0,2021-07-12,160658.6754,627200.0
11,6.0,16.0,6.0,2024-01-12,98263.8504,532000.0
17,27.0,12.0,16.0,2022-09-27,85093.63619,1428000.0
18,57.0,10.0,6.0,2022-07-10,89600.0,627200.0
21,88.0,13.0,1.0,2024-09-08,210759.8014,392000.0
24,70.0,1.0,19.0,2021-05-03,145162.0974,2660000.0
25,79.0,19.0,3.0,2023-03-24,102391.2271,190400.0
26,93.0,9.0,1.0,2021-09-21,112000.0,1792000.0
32,23.0,7.0,1.0,2022-10-10,158091.2875,151200.0
33,8.0,20.0,10.0,2021-10-01,241093.1444,2016000.0
34,92.0,8.0,11.0,2024-02-27,141578.7105,1814400.0
36,71.0,20.0,3.0,2022-05-19,224000.0,896000.0
38,67.0,2.0,13.0,2024-08-05,184039.0226,2016000.0
39,20.0,1.0,12.0,2024-05-22,148830.0949,1820000.0
43,91.0,6.0,13.0,2022-10-31,187921.9708,2150400.0
44,87.0,13.0,11.0,2021-08-05,196000.0,1960000.0
45,36.0,9.0,10.0,2024-08-26,116233.1048,1008000.0
47,50.0,18.0,11.0,2024-03-14,141498.8996,1478400.0
51,27.0,2.0,19.0,2024-08-04,169702.4059,3024000.0
54,19.0,10.0,10.0,2023-08-24,89600.0,896000.0
58,28.0,2.0,16.0,2024-09-09,184595.1043,2688000.0
59,54.0,1.0,1.0,2021-07-19,140359.0834,140359.08
60,94.0,1.0,4.0,2022-06-09,130046.1349,700000.0
61,71.0,7.0,15.0,2021-11-10,161848.4118,2116800.0
62,30.0,2.0,7.0,2024-01-01,154604.6056,1008000.0
63,95.0,17.0,16.0,2021-08-03,160744.7424,2520000.0
65,5.0,2.0,3.0,2022-12-21,170103.4952,504000.0
68,82.0,19.0,5.0,2024-09-19,98348.09871,571200.0
71,48.0,13.0,18.0,2020-11-16,196000.0,3332000.0
74,44.0,17.0,5.0,2022-05-09,156408.6499,840000.0
75,51.0,3.0,4.0,2024-02-12,102820.9381,504000.0
76,12.0,2.0,5.0,2023-03-02,175224.4711,1008000.0
77,17.0,4.0,9.0,2022-02-26,134913.4726,1232000.0
78,85.0,14.0,1.0,2021-11-13,131147.8891,515200.0
79,66.0,4.0,1.0,2023-09-14,112998.0599,112998.06
80,91.0,18.0,17.0,2021-09-10,147779.8507,2284800.0
81,61.0,15.0,10.0,2024-05-26,105434.5755,907200.0
83,67.0,14.0,13.0,2021-12-24,141571.5132,1674400.0
88,49.0,4.0,5.0,2022-11-07,123200.0,492800.0
